ID,Language_ID,Parameter_ID,Value
olo-provenance,olo,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
olt-name,olt,name,Old Lithuanian
olt-family,olt,family,Indo-European (Baltic)
olt-context,olt,context,"The Lithuanian of the 16th–18th century books — Mažvydas's catechism of 1547, Daukša's postil, Sirvydas's dictionary — whose conservative accents and endings make it a favourite witness in Indo-European reconstruction. It reaches this library through the etymology desk's cognate lists."
olt-provenance,olt,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
omr-name,omr,name,Old Marathi
omr-family,omr,family,Indo-European (Indo-Aryan)
omr-context,omr,context,"The Marathi of roughly the 11th–15th centuries, from the earliest inscriptions at Shravanabelagola and Dive Agar to the Dnyaneshwari and the Mahanubhava prose that founded the literature. It reaches this library through the etymology desk's cognate lists."
omr-provenance,omr,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
or-name,or,name,Odia
or-family,or,family,Indo-European (Indo-Aryan)
or-context,or,context,"The classical language of Odisha, its literature running from the 15th-century Sarala Das onward, written in a rounded script shaped by palm-leaf incising; India granted it classical status in 2014. It reaches this library through the etymology desk's cognate lists."
or-provenance,or,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
orh-name,orh,name,Oroqen
orh-family,orh,family,Northern Tungusic
orh-context,orh,context,"Oroqen (ISO 639-3 orh), a Northern Tungusic language of northeast China — no held texts; the code is minted solely by the wold-oroqen dictionary shelf, WOLD's Oroqen vocabulary (Li & Whaley, in Haspelmath & Tadmor eds. 2009; 1,205 entries), here for its loanword edges."
orh-provenance,orh,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
orv-name,orv,name,Old East Slavic
orv-family,orv,family,East Slavic
orv-context,orv,context,"Birchbark letters, chronicles, Avvakum, and the prosta mova chancery texts, 1025–1700. Middle Russian and Ruthenian ride this code too (the UD convention); Wiktionary splits them (zle-mru, zle-ort)."
orv-provenance,orv,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
os-name,os,name,Ossetian
os-family,os,family,Indo-European (Iranian)
os-context,os,context,The ISO 639-1 alias of oss — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
os-provenance,os,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
os-dig-name,os-dig,name,Digor Ossetian
os-dig-family,os-dig,family,Indo-European (Iranian)
os-dig-context,os-dig,context,"The western and more archaic of the two Ossetian dialects, spoken in Digoria in the northwest of North Ossetia; Wiktionary files it as a variety under os, whose oss dossier this library holds. It reaches this library through the etymology desk's cognate lists."
os-dig-provenance,os-dig,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
os-iro-name,os-iro,name,Iron Ossetian
os-iro-family,os-iro,family,Indo-European (Iranian)
os-iro-context,os-iro,context,The eastern dialect that carries standard Ossetian and most of its literature since Khetagurov; Wiktionary files it as a variety under os. It reaches this library through the etymology desk's cognate lists.
os-iro-provenance,os-iro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
osc-name,osc,name,Oscan
osc-family,osc,family,Sabellic < Italic < Indo-European
osc-context,osc,context,"The chief Sabellic language of ancient Italy: speech of the Samnites and Campanians, ~5th–1st centuries BCE, written in its own Etruscan-derived alphabet at home and in Greek or Latin letters at the edges of its range — from the Tabula Bantina and Pompeii's wall texts to the Mamertine dedications of Messana. Rome's great Italic rival (the Social War rebels struck coinage in it), it faded under Latin in the first century BCE. The library's Oscan is epigraphic and lexical: CEIPoM's 902 dependency-parsed texts, ItAnt's 501 native-alphabet inscriptions (osc-Ital-x-oscetr), I.Sicily's Mamertine records (osc-Grek), and the shelf of Latin words borrowed from it."
osc-provenance,osc,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
osc-Grek-name,osc-Grek,name,Oscan (Greek alphabet)
osc-Grek-family,osc-Grek,family,Sabellic < Italic < Indo-European
osc-Grek-context,osc-Grek,context,"Oscan written in Greek letters — the usual dress for Oscan in the Greek-facing far south of Italy and in Sicily, beside the native Etruscan-derived alphabet of Samnium and Campania. Here it is I.Sicily's Mamertine lane: 14 passages on four records from Messana, where the Mamertini — Campanian mercenaries who seized the city in the early 3rd century BCE — left public texts in their Oscan cut in Greek script, among them a dedication to Apollo. The -Grek subtag is ISO 15924 carried from each file's textLang/@mainLang; the osc base dossier covers the language, and ItAnt's native-alphabet lane is osc-Ital-x-oscetr."
osc-Grek-provenance,osc-Grek,provenance,"noted: 2026-08-02 (curated note added, Wikipedia-derived)"
osc-Ital-x-oscetr-name,osc-Ital-x-oscetr,name,Oscan (native alphabet)
osc-Ital-x-oscetr-family,osc-Ital-x-oscetr,family,Sabellic < Italic < Indo-European
osc-Ital-x-oscetr-context,osc-Ital-x-oscetr,context,"Corpus ItAnt's Oscan lane: 501 inscriptions in the Oscan national alphabet, the Etruscan-derived Old Italic script. The tag is upstream's own most-specific langUsage ident carried whole — base osc + ISO 15924 Ital + BCP-47 private-use -x-oscetr naming the particular alphabet (ItAnt ships no textLang, so langUsage is the honest source). The osc base dossier covers the language; this code is the script-variant lane."
osc-Ital-x-oscetr-provenance,osc-Ital-x-oscetr,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
osp-name,osp,name,Old Spanish
osp-family,osp,family,Romance (Ibero-Romance)
osp-context,osp,context,"Old Spanish is the Ibero-Romance of Castile from roughly the 10th to the 15th century — the language of the Cantar de mio Cid and of Alfonso X's scholarly court, which made Castilian a language of learning. Its sibilant system, later upended in the 16th and 17th centuries, still shows through the spelling conventions modern Spanish inherited. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
osp-provenance,osp,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
oss-name,oss,name,Ossetic
oss-family,oss,family,Iranian (Eastern)
oss-context,oss,context,"Ossetic is an Eastern Iranian language of the central Caucasus, descendant of the speech of the medieval Alans and, behind them, of the Scythian-Sarmatian steppe — an Iranian island long cut off from its kin. Spoken in North Ossetia (Russia) and South Ossetia and written in Cyrillic, it has two dialects, Iron and Digor, both recorded in the data here. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
oss-provenance,oss,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
osx-name,osx,name,Old Saxon
osx-family,osx,family,Germanic (West) < Indo-European
osx-context,osx,context,"The West Germanic language of the continental Saxons, ~9th–12th centuries, ancestor of the Low German dialects — untouched by the Second Consonant Shift and so closer in sound to Old English than to Old High German. Nearly everything we have of it is one poem: the Heliand, a ~6,000-line alliterative retelling of the Gospel for a newly converted Saxon audience. The library holds exactly that — HeliPaD, the Heliand Parsed Database (3,549 passages of syntactically annotated verse) — plus 10,680 Old Saxon reflex rows in the etymological shelves and IE-CoR's cognate variety below."
osx-provenance,osx,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ota-name,ota,name,Ottoman Turkish
ota-family,ota,family,Turkic (Oghuz)
ota-context,ota,context,"The Perso-Arabic-script literary Turkish of the Ottoman Empire, ca. 1300–1928. Held as two UD treebanks — UD_Ottoman_Turkish-BOUN and UD_Ottoman_Turkish-DUDU (five CoNLL-U splits, 2,760 sentences) — with 28,677 gold lemma rows and 67 reflex edges into the Turkic etymology net."
ota-provenance,ota,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
otb-name,otb,name,Old Tibetan
otb-family,otb,family,Tibeto-Burman (Bodish)
otb-context,otb,context,"The language of the Tibetan empire (7th–11th centuries) as the Dunhuang manuscripts and the imperial inscriptions preserve it — pre-standard orthography with the reversed gi-gu and da-drag intact. Held: OTDO's 413 critical editions in Wylie (the Pelliot tibétain and IOL Tib J scrolls, the pillar and rock inscriptions) and the Old Tibetan Annals and Chronicle with gold segmentation, POS and dependencies (silver-tier lemmas), the Annals paired line-by-line with Dotson's English translation."
otb-provenance,otb,provenance,exported: 2026-07-28 (P48 language pass)
ote-name,ote,name,Otomi
ote-family,ote,family,Oto-Manguean (Otomian)
ote-context,ote,context,"Otomi is an Otomian language cluster of the Oto-Manguean family, spoken across central Mexico; the WOLD dataset records the Querétaro variety in long contact with Spanish. Held as the WOLD Otomi vocabulary (Dik Bakker and Ewald Hekking; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
ote-provenance,ote,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
ovd-name,ovd,name,Elfdalian
ovd-family,ovd,family,Germanic (North)
ovd-context,ovd,context,"Elfdalian is the North Germanic vernacular of Älvdalen in Dalarna, Sweden — officially handled as a Swedish dialect but by linguistic measures a language of its own, preserving nasal vowels and other archaisms lost everywhere else in Scandinavia, and written locally in Dalecarlian runes into the early 20th century. Perhaps two or three thousand people still speak it. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Germanic relatives."
ovd-provenance,ovd,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
owl-name,owl,name,Old Welsh
owl-family,owl,family,Celtic (Brythonic)
owl-context,owl,context,"Old Welsh is the Brythonic Celtic of Wales from roughly the 9th to the 12th century, surviving in glosses, marginalia and short texts — the Surexit memorandum in the Lichfield Gospels, the Juvencus englynion — rather than in books of its own; the great medieval Welsh literature survives only in later, Middle Welsh copies. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Celtic relatives."
owl-provenance,owl,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pa-name,pa,name,Punjabi
pa-family,pa,family,Indo-European (Indo-Aryan)
pa-context,pa,context,The ISO 639-1 alias of pan — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
pa-provenance,pa,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pal-name,pal,name,Middle Persian
pal-family,pal,family,Indo-European (Iranian)
pal-context,pal,context,"The language of Sasanian Iran and of Zoroastrian Pahlavi literature, descendant of Old Persian and ancestor of New Persian, written in the notoriously ambiguous Aramaic-derived Pahlavi script as well as Manichaean and Psalter hands. It reaches this library through the etymology desk's cognate lists."
pal-provenance,pal,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pan-name,pan,name,Punjabi
pan-family,pan,family,Indo-Aryan (Northwestern)
pan-context,pan,context,"Punjabi is the Indo-Aryan language of the Punjab, split by the 1947 Partition: in Pakistan, where it is the most spoken home language, it is written in the Perso-Arabic Shahmukhi; in Indian Punjab in Gurmukhi, the script of the Sikh scriptures. Unusually for Indo-Aryan it is tonal, its tones born from the loss of the old voiced aspirate consonants. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
pan-provenance,pan,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pap-name,pap,name,Papiamento
pap-family,pap,family,Iberian-lexified creole
pap-context,pap,context,"The creole of Aruba, Bonaire and Curaçao, of debated Portuguese-or-Spanish birth with Dutch and African layers, and one of the few Caribbean creoles with full official status and a settled orthography. It reaches this library through the etymology desk's cognate lists."
pap-provenance,pap,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pau-name,pau,name,Palauan
pau-family,pau,family,Austronesian (Malayo-Polynesian)
pau-context,pau,context,"The language of Palau, one of the two indigenous non-Oceanic Austronesian languages of Micronesia, its lexicon studded with Spanish, German, Japanese and English loans from four successive administrations. It reaches this library through the etymology desk's cognate lists."
pau-provenance,pau,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pbu-name,pbu,name,Northern Pashto
pbu-family,pbu,family,Iranian (Eastern)
pbu-context,pbu,context,"Northern Pashto is the northeastern variety of Pashto, the Eastern Iranian language of the Pashtuns, centered on Peshawar and the Yusufzai country of Pakistan's Khyber Pakhtunkhwa. Pashto at large — co-official in Afghanistan, spoken by tens of millions — is written in an extended Arabic script and keeps an ergative past tense and retroflex consonants absorbed from its Indo-Aryan neighbors. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
pbu-provenance,pbu,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pcd-name,pcd,name,Picard
pcd-family,pcd,family,"Indo-European (Romance, Oïl)"
pcd-context,pcd,context,"The Oïl language of Picardy and the Nord, known familiarly as ch'ti or chtimi, keeping Latin velars unpalatalized where French shifted them; it holds regional-language recognition in France and Belgium. It reaches this library through the etymology desk's cognate lists."
pcd-provenance,pcd,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pcm-name,pcm,name,Nigerian Pidgin
pcm-family,pcm,family,English-lexified creole
pcm-context,pcm,context,"Naijá, the English-lexified pidgin-turned-creole that is Nigeria's true lingua franca, with tens of millions of speakers and a growing media presence including a BBC service. It reaches this library through the etymology desk's cognate lists."
pcm-provenance,pcm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pdc-name,pdc,name,Pennsylvania German
pdc-family,pdc,family,"Indo-European (Germanic, West)"
pdc-context,pdc,context,"The Palatine-based language of the Pennsylvania Dutch, carried to North America in the 18th century and today sustained chiefly by Amish and Old Order Mennonite communities, among whom it is still growing. It reaches this library through the etymology desk's cognate lists."
pdc-provenance,pdc,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pdt-name,pdt,name,Plautdietsch
pdt-family,pdt,family,"Indo-European (Germanic, West)"
pdt-context,pdt,context,"The Mennonite Low German shaped in the Vistula delta and carried through Ukraine to the Americas, now spoken by hundreds of thousands across scattered colonies from Paraguay to Canada. It reaches this library through the etymology desk's cognate lists."
pdt-provenance,pdt,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
peo-name,peo,name,Old Persian
peo-family,peo,family,Iranian (Old Iranian) < Indo-Iranian < Indo-European
peo-context,peo,context,"The Old Iranian language of the Achaemenid kings, 6th–4th centuries BCE, written in a cuneiform semi-syllabary invented expressly for royal display — most famously Darius I's trilingual Bisotun inscription, the key that unlocked cuneiform decipherment. Attestation is almost wholly royal: rock reliefs, palace inscriptions and seals from Cyrus's line through Artaxerxes. The library holds that corpus in cuneiform editions via Oracc (115 documents — Ariaramnes, Cyrus, Darius, Xerxes…) and CDLI (188 entries), with Old Persian reflex rows in the etymological shelves and IE-CoR's cognate variety below."
peo-provenance,peo,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pes-name,pes,name,Iranian Persian
pes-family,pes,family,Iranian (Southwestern)
pes-context,pes,context,"Iranian Persian — Farsi — is the Western Persian standard of Iran, the modern stage of a lineage running from Old Persian through Middle Persian, written in Perso-Arabic script and carrying one of the world's great literatures, from Ferdowsi and Hafez to the present. The wordlist filed here records the Tehran variety that underlies the modern standard. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
pes-provenance,pes,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pey-name,pey,name,Petjo
pey-family,pey,family,Dutch-lexified creole
pey-context,pey,context,"The mixed language of the Indo (Eurasian) community of colonial Batavia and other Javanese cities, Dutch in vocabulary and Malay-Javanese in structure, now nearly gone with the community's postwar dispersal to the Netherlands. It reaches this library through the etymology desk's cognate lists."
pey-provenance,pey,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pfl-name,pfl,name,Palatine German
pfl-family,pfl,family,"Indo-European (Germanic, West)"
pfl-context,pfl,context,"The Rhine Franconian dialect of the Palatinate, the emigrant speech that became Pennsylvania German in North America and flavored the Danube Swabian settlements. It reaches this library through the etymology desk's cognate lists."
pfl-provenance,pfl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pgl-name,pgl,name,Primitive Irish
pgl-family,pgl,family,Celtic (Goidelic)
pgl-context,pgl,context,"The earliest attested stage of Goidelic, surviving almost solely as personal names on ogham stones of the 4th–6th centuries. Held: 547 documents, 638 passages from OG(H)AM — Ogham in 3D v2.0 (DIAS/Maynooth) — the orthodox ogham corpus of Ireland and its colonies."
pgl-provenance,pgl,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
pgl-Latn-name,pgl-Latn,name,Primitive Irish (roman-letter)
pgl-Latn-family,pgl-Latn,family,Goidelic < Celtic < Indo-European
pgl-Latn-context,pgl-Latn,context,"The roman-alphabet lane of Primitive Irish in the OG(H)AM corpus: 8 layer documents — roman-letter epigraphic sides of bilingual stones (mostly Welsh: Llanfaelog, Clydai 1, Spittal…, plus Newton in Aberdeenshire) and one editorial transliteration (St Dogmaels) — where the Latin letters spell the Irish names themselves. Sibling of pgl-Ogam, the ogham-native lane; the split is the shelf's per-script layer-document convention."
pgl-Latn-provenance,pgl-Latn,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
pgl-Ogam-name,pgl-Ogam,name,Primitive Irish (ogham)
pgl-Ogam-family,pgl-Ogam,family,Goidelic < Celtic < Indo-European
pgl-Ogam-context,pgl-Ogam,context,"The OG(H)AM corpus's main lane: 139 layer documents of classical orthodox ogham — Primitive Irish memorial formulae (MAQQI, MUCOI…) on stones of Ireland, Wales, and the western fringe, ca. 4th–7th c. CE. Each stone file yields per-script layer documents; -Ogam rides only the true ogham layer (roman-letter renderings of the same language sit under pgl-Latn). ISO 639-3 pgl has no base dossier yet — this script lane is where the language actually lives."
pgl-Ogam-provenance,pgl-Ogam,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
pgn-name,pgn,name,Paelignian
pgn-family,pgn,family,"Indo-European (Italic, Sabellic)"
pgn-context,pgn,context,"The Sabellic dialect of the Paeligni around Sulmona, attested in a few dozen short inscriptions of the last centuries BCE before Latin absorbed it. It reaches this library through the etymology desk's cognate lists."
pgn-provenance,pgn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
phl-name,phl,name,Palula
phl-family,phl,family,"Indo-Aryan (Dardic, Shina)"
phl-context,phl,context,"Palula is an Indo-Aryan (Dardic) language of the Shina group, spoken in a handful of villages of southern Chitral, Pakistan, by roughly ten thousand people whose ancestors migrated up from the Shina heartland in Indus Kohistan. It has been unusually well documented in recent years, with a full modern grammar and dictionary. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Aryan relatives."
phl-provenance,phl,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
phn-name,phn,name,Phoenician
phn-family,phn,family,Northwest Semitic (Canaanite)
phn-context,phn,context,"Language of Tyre, Sidon and Byblos and of the alphabet's great diffusion, 1st millennium BCE. Held: 23 documents (31 passages) — 22 from Inscriptions of Israel/Palestine plus one CDLI entry. Its western continuation at Carthage is shelved separately as xpu (Punic)."
phn-provenance,phn,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
pi-name,pi,name,Pali
pi-family,pi,family,Indo-European (Indo-Aryan)
pi-context,pi,context,The ISO 639-1 alias of pli — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
pi-provenance,pi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pih-name,pih,name,Pitkern-Norfolk
pih-family,pih,family,English-lexified creole
pih-context,pih,context,The blend of 18th-century maritime English and Tahitian spoken by descendants of the Bounty mutineers on Pitcairn and Norfolk Island. It reaches this library through the etymology desk's cognate lists.
pih-provenance,pih,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pis-name,pis,name,Pijin
pis-family,pis,family,English-lexified creole
pis-context,pis,context,"The Melanesian pidgin of Solomon Islands, sibling of Tok Pisin and Bislama from the same plantation-era Pacific trade speech, now the national lingua franca. It reaches this library through the etymology desk's cognate lists."
pis-provenance,pis,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pl-name,pl,name,Polish
pl-family,pl,family,"Indo-European (Slavic, West)"
pl-context,pl,context,The ISO 639-1 alias of pol — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
pl-provenance,pl,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pli-name,pli,name,Pali
pli-family,pli,family,Indo-Aryan (Middle Indo-Aryan) < Indo-Iranian < Indo-European
pli-context,pli,context,"The Middle Indo-Aryan literary language of the Theravāda Buddhist canon: a standardized Prakrit close to the vernaculars of the Buddha's era, fixed as a canonical and scholastic language in Sri Lanka and mainland Southeast Asia, and owning no script of its own — each tradition writes it in its local letters (here, roman). The library holds the canon itself: SuttaCentral's segmented Tipiṭaka, 7,288 documents and 444,673 passages with aligned English translation, beside IE-CoR's cognate variety below."
pli-provenance,pli,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
plq-name,plq,name,Palaic
plq-family,plq,family,Anatolian < Indo-European
plq-context,plq,context,"Palaic is an Anatolian language of the Indo-European family, spoken in Pala in northern Anatolia in the second millennium BCE and preserved only in ritual passages within the Hittite archives of Ḫattusa. Held via the TLHdig corpus (Thesaurus Linguarum Hethaeorum digitalis, Beta 0.3) — 30 documents, 582 passages, chiefly CTH 750–751 festival and ritual fragments — not a WOLD vocabulary."
plq-provenance,plq,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
plt-name,plt,name,Malagasy
plt-family,plt,family,"Austronesian (Malayo-Polynesian, Barito)"
plt-context,plt,context,"Malagasy (Plateau variety) is an Austronesian language of the Barito subgroup, carried from Borneo to Madagascar and overlaid with Bantu, Arabic, and French contact strata. Held as the WOLD Malagasy vocabulary (Alexander Adelaar; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
plt-provenance,plt,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
pms-name,pms,name,Piedmontese
pms-family,pms,family,Indo-European (Romance)
pms-context,pms,context,"The Gallo-Italic language of Piedmont around Turin, with a literary tradition from the 12th-century Sermoni subalpini onward and a settled orthography since the 1930s. It reaches this library through the etymology desk's cognate lists."
pms-provenance,pms,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pnt-name,pnt,name,Pontic Greek
pnt-family,pnt,family,Hellenic
pnt-context,pnt,context,"Pontic Greek is the Greek of the Black Sea coast of Anatolia, separated from the main Greek world since the Turkish conquests and combining striking archaisms with deep Turkish influence. After the 1923 population exchange its speakers were scattered through Greece and the former Soviet Union, while related Romeyka varieties are still spoken by Muslim communities in the valleys behind Trabzon. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Greek relatives."
pnt-provenance,pnt,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pol-name,pol,name,Polish
pol-family,pol,family,West Slavic
pol-context,pol,context,Modern scholarly translations of the Freising Manuscripts (one per manuscript).
pol-provenance,pol,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
por-name,por,name,Portuguese
por-family,por,family,Romance (Ibero-Romance)
por-context,por,context,"Portuguese is the Ibero-Romance language that grew out of medieval Galician-Portuguese in the peninsula's northwest and sailed with the empire to become official in Brazil, Angola, Mozambique and half a dozen other countries — some 250 million speakers, most of them Brazilian. The data here records both the European and the Brazilian varieties. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
por-provenance,por,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pox-name,pox,name,Polabian
pox-family,pox,family,"Slavic (West, Lechitic)"
pox-context,pox,context,"Polabian is the extinct West Slavic (Lechitic) language of the lower Elbe in what is now northern Germany, the last remnant of the Slavic once spoken across the whole region east of the river. It held out longest in the Drawehn district around Lüchow, where pastors and amateurs recorded wordlists and phrases before the language died in the mid-18th century — the last woman with some command of it died in 1756. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Slavic relatives."
pox-provenance,pox,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pra-name,pra,name,Prakrits
pra-context,pra,context,"The Middle Indo-Aryan literary languages (pra-mah Maharastri, pra-sau Sauraseni, pra-mag Magadhi, pra-ard Ardhamagadhi)."
pra-provenance,pra,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
pra-mah-name,pra-mah,name,Maharastri Prakrit
pra-mah-family,pra-mah,family,Indo-European (Indo-Aryan)
pra-mah-context,pra-mah,context,"The premier literary Prakrit of classical India, language of the Sattasai anthology and of the verse portions of Sanskrit drama, prized by rhetoricians as the sweetest of the Middle Indo-Aryan tongues; this library's pra dossier covers the Prakrit corpus generally. It reaches this library through the etymology desk's cognate lists."
pra-mah-provenance,pra-mah,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
pra-sau-name,pra-sau,name,Sauraseni Prakrit
pra-sau-family,pra-sau,family,Indo-European (Indo-Aryan)
pra-sau-context,pra-sau,context,"The Middle Indo-Aryan of the Mathura region, the conventional prose speech of women and courtiers in Sanskrit drama and the canonical language of Digambara Jain texts; the modern Hindi belt descends from its orbit. It reaches this library through the etymology desk's cognate lists."
pra-sau-provenance,pra-sau,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
prg-name,prg,name,Old Prussian
prg-family,prg,family,Baltic (Western)
prg-context,prg,context,"Old Prussian is the extinct Western Baltic language of the original Prussians, the Baltic people conquered by the Teutonic Order and whose name Germany later inherited. It is attested by the Elbing vocabulary and three 16th-century Lutheran catechisms — the third, of 1561, the longest Baltic text of its era — and died out around 1700 under German colonization; modern enthusiasts have attempted a revival. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Baltic relatives."
prg-provenance,prg,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
prn-name,prn,name,Prasuni
prn-family,prn,family,Indo-Iranian (Nuristani)
prn-context,prn,context,"Prasuni (Vâsi-vari) is the most divergent of the Nuristani languages, spoken in a few villages of the upper Parun valley in Nuristan, northeastern Afghanistan. Nuristani is the small third branch of Indo-Iranian, and Prasuni's aberrant phonology long made even its membership hard to see; the wordlist filed here records the Paṣki village variety. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Indo-Iranian relatives."
prn-provenance,prn,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
pro-name,pro,name,Old Occitan
pro-family,pro,family,Romance (Gallo-Romance)
pro-context,pro,context,"Old Occitan (Old Provençal) is the Gallo-Romance of the medieval south of France and the language of the troubadours, whose 12th- and 13th-century lyric of fin'amor set the pattern for vernacular poetry across Europe — Dante weighed it for the Commedia and gave the troubadour Arnaut Daniel eight lines of it in the Purgatorio. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Romance relatives."
pro-provenance,pro,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ps-name,ps,name,Pashto
ps-family,ps,family,Indo-European (Iranian)
ps-context,ps,context,"The Eastern Iranian language of the Pashtuns, official in Afghanistan and dominant in Pakistan's northwest, with a literary tradition from Khushal Khan Khattak's 17th-century divan; its retroflexes and gender system set it apart within Iranian. The library's pbu dossier covers its northern variety. It reaches this library through the etymology desk's cognate lists."
